property_id,url,address,disposition,usable_area,location,available_from,furnishing,monthly_rent,energy_fees,security_deposit,admin_fee
883136,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/883136-nabidka-pronajem-bytu-robotnicka-bratislava,"Robotnícka, Nové Mesto - Nové Mesto, Bratislavský kraj",3-izbový,22 m²,Tichá časť,1. 4. 2025,Vybavené,224,224,224,224
885339,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/885339-nabidka-pronajem-bytu-bazova-ruzinov,"Bazová, Ružinov - Nivy, Bratislavský kraj",2-izbový,60 m²,Rezidencie,1. 4. 2025,Vybavené,650,250,900,650
882332,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/882332-nabidka-pronajem-bytu-zavadska-bratislava,"Rača - Centrálna Rača, Bratislavský kraj",2-izbový,58 m²,Tichá časť,1. 4. 2025,Vybavené,650,200,900,900
886366,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/886366-nabidka-pronajem-bytu-lermontovova-bratislava-mestska-cast-stare-mesto,"Lermontovova, Bratislava - mestská časť Staré Mesto - Oblasť Partizánska, Bratislavský kraj",3-izbový,72 m²,Tichá časť,30. 3. 2025,Čiastočne,800,300,1100,800
885056,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/885056-nabidka-pronajem-bytu,"Petržalka - Lúky, Bratislavský kraj",2-izbový,56 m²,Zaneprázdnená časť,18. 3. 2025,Vybavené,720,180,900,900
886313,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/886313-nabidka-pronajem-bytu-pajstunska-bratislava,"Pajštúnska, Petržalka - Dvory, Bratislavský kraj",3-izbový,80 m²,Stredisko,30. 3. 2025,Vybavené,1000,150,2500,2500
721695,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/721695-nabidka-pronajem-bytu,"Bratislava - mestská časť Staré Mesto - Oblasť Dunajská, Bratislavský kraj",2-izbový,62 m²,Tichá časť,1. 6. 2025,Vybavené,900,200,1100,900
882971,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/882971-nabidka-pronajem-bytu-budatinska-bratislava,"Budatínska, Petržalka - Lúky, Bratislavský kraj",4-izbový,92 m²,Rezidencie,1. 5. 2025,Vybavené,890,200,1200,1200
886279,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/886279-nabidka-pronajem-bytu-zimna-ruzinov,"Zimná, Ružinov - Ostredky, Bratislavský kraj",3-izbový,74 m²,Tichá časť,29. 3. 2025,Vybavené,850,30,850,850
861918,https://www.bezrealitky.sk/nehnutelnosti-byty-domy/861918-nabidka-pronajem-bytu-racianska-nove-mesto,"Račianska, Nové Mesto - Nové Mesto, Bratislavský kraj",2-izbový,45 m²,Tichá časť,1. 5. 2025,Vybavené,600,190,500,500
